date,ticker,p945
2026-08-11,CM.TO,167.7250
2026-08-11,ENB.TO,72.3450
2026-08-11,TRP.TO,89.5300
2026-08-11,CNQ.TO,65.7500
2026-08-11,SU.TO,87.6000
2026-08-11,CVE.TO,41.3200
2026-08-11,CP.TO,127.4800
2026-08-11,CNR.TO,175.5200
2026-08-11,SHOP.TO,212.3500
2026-08-11,ABX.TO,56.6900
2026-08-11,AEM.TO,254.8900
2026-08-11,NTR.TO,93.6800
2026-08-11,MFC.TO,61.5300
2026-08-11,SLF.TO,114.5000
2026-08-11,BCE.TO,32.2900
2026-08-11,T.TO,13.4050
2026-08-12,RY.TO,294.8300
2026-08-12,TD.TO,170.5900
2026-08-12,BNS.TO,124.8000
2026-08-12,BMO.TO,254.2700
2026-08-12,CM.TO,167.2400
2026-08-12,ENB.TO,71.7500
2026-08-12,TRP.TO,89.2400
2026-08-12,CNQ.TO,66.3900
2026-08-12,SU.TO,88.2200
2026-08-12,CVE.TO,41.6900
2026-08-12,CP.TO,128.2900
2026-08-12,CNR.TO,176.0800
2026-08-12,SHOP.TO,211.0100
2026-08-12,ABX.TO,56.8500
2026-08-12,AEM.TO,257.9300
2026-08-12,NTR.TO,92.8600
2026-08-12,MFC.TO,61.2200
2026-08-12,SLF.TO,112.1800
2026-08-12,BCE.TO,32.1300
2026-08-12,T.TO,13.3300
2026-08-13,AC.TO,30.3300
2026-08-13,RY.TO,299.6400
2026-08-13,TD.TO,172.9800
2026-08-13,BNS.TO,126.2600
2026-08-13,BMO.TO,256.0000
2026-08-13,CM.TO,170.1700
2026-08-13,ENB.TO,71.8700
2026-08-13,TRP.TO,88.7100
2026-08-13,CNQ.TO,66.1200
2026-08-13,SU.TO,89.5700
2026-08-13,CVE.TO,42.0600
2026-08-13,CP.TO,130.7500
2026-08-13,CNR.TO,178.3000
2026-08-13,SHOP.TO,211.0000
2026-08-13,ABX.TO,56.8600
2026-08-13,AEM.TO,253.5100
2026-08-13,NTR.TO,93.5500
2026-08-13,MFC.TO,61.7100
2026-08-13,SLF.TO,112.9950
2026-08-13,BCE.TO,32.2600
2026-08-13,T.TO,13.3500
2026-08-14,AC.TO,30.8600
2026-08-14,RY.TO,299.6900
2026-08-14,TD.TO,171.5800
2026-08-14,BNS.TO,126.3100
2026-08-14,BMO.TO,256.1300
2026-08-14,CM.TO,170.9150
2026-08-14,ENB.TO,70.5300
2026-08-14,TRP.TO,88.2100
2026-08-14,CNQ.TO,66.9100
2026-08-14,SU.TO,91.8500
2026-08-14,CVE.TO,43.3300
2026-08-14,CP.TO,130.8900
2026-08-14,CNR.TO,177.7900
2026-08-14,SHOP.TO,217.8000
2026-08-14,ABX.TO,57.7100
2026-08-14,AEM.TO,256.6300
2026-08-14,NTR.TO,94.1300
2026-08-14,MFC.TO,61.4500
2026-08-14,SLF.TO,112.6550
2026-08-14,BCE.TO,32.6600
2026-08-14,T.TO,13.4800
2026-08-17,AC.TO,29.2700
2026-08-17,RY.TO,300.5100
