Code,Name,Type,Currency,Isin
ENB-PFI,Enbridge Inc,Common Stock,CAD,
ENB-PU,Enbridge Inc Pref J,Preferred Stock,USD,CA29250N8246
ENF,Enbridge Income Fund Holdings Inc,FUND,CAD,CA29251R1055
ENT,ENTREC Corporation,Common Stock,CAD,
ENT-DB,ENTREC CORPORATION 7 PCT DEBS,FUND,CAD,
EOM,Eco Oro Minerals Corp,Common Stock,CAD,
EOX,Euromax Resources Ltd,Common Stock,CAD,CA29873T3073
EPI,EPI,Common Stock,CAD,
EPS,Epsilon Energy Ltd,Common Stock,CAD,
EQB-PC,EQB Inc Preferred Series 3,Preferred Stock,CAD,CA26886R2037
EQI,Equity Financial Holdings Inc,Common Stock,CAD,
EQU,Equal Energy Ltd,Common Stock,CAD,
ER,Eastmain Resources Inc,Common Stock,CAD,CA27743M1068
ERE-UN,European Residential Real Estate Investment Trust,Common Stock,CAD,CA29880W1032
ERF,Enerplus Corporation,Common Stock,CAD,CA2927661025
ERM,Eclipse Residential Mortgage Investment Corporation,Common Stock,CAD,
ESGH,BMO ESG High Yield US Corporate Bond Index ETF,ETF,CAD,CA05601M2022
ESGH-F,BMO ESG HY US Corp Bd ETF (Hedged Units),ETF,CAD,
ESN,Essential Energy Services Ltd.,Common Stock,CAD,CA29669R1010
ESP_old,Espial Group Inc,Common Stock,CAD,
ETAC,Equium Global Tactical Allocation Fund ETF,ETF,CAD,
ETHH-J,Purpose Ether ETF,ETF,CAD,
ETP-A,First Trust Global Risk Managed Income Index ETF,ETF,CAD,
ETX,Etrion Corporation,Common Stock,CAD,CA29786T1057
EUR,First Trust AlphaDEX European Dividend Common,ETF,CAD,CA33732H2072
EUR-A,FIRST TRUST ALPHADEX EURO DIV I,ETF,CAD,
EXF,EXFO Inc,Common Stock,CAD,CA3020461073
EXGB,Excel Global Balanced Asset Allocation ETF,ETF,CAD,
EXGG,Excel Global Growth Asset Allocation ETF,ETF,CAD,
EXM,EXM,ETF,CAD,
EXN,Excellon Resources Inc.,Common Stock,CAD,CA30069C8016
EXRO,Exro Technologies Inc,Common Stock,CAD,CA30222R1091
FAF,Fire & Flower Holdings Corp,Common Stock,CAD,CA3181083054
FAH-U,Helios Fairfax Partners Corporation,Common Stock,USD,
FAI,CI Active Utility & Infrastructure ETF,ETF,CAD,CA12554G1090
FANS,FansUnite Entertainment Inc.,Common Stock,CAD,
FAO,CI Active Credit ETF,ETF,CAD,CA12554P1099
FAO-U,CI Active Credit ETF,ETF,USD,
FBE,CI First Asset Canadian Buyback Index ETF,ETF,CAD,CA17161Q1019
FBU,CI First Asset U.S. Buyback Index ETF,ETF,CAD,CA12556E1025
FC-DBB,FIRM CAPITAL MTG INV CORP 5.40,FUND,CAD,
FC-DBD,FIRM CAPITAL MORTGAGE INV 4.75,FUND,CAD,
FCEM,Fidelity Emerging Markets Fund,FUND,CAD,
FCGB,Fidelity Global Core Plus Bond ETF,ETF,CAD,CA31623G1063
FCGI,Fidelity Global Monthly High Income ETF,ETF,CAD,CA31623K1075
FCHH,Fidelity Systematic U.S. High Yield Bond Currency Neutral ETF,ETF,CAD,CA31615M1032
FCHY,Fidelity Systematic U.S. High Yield Bond ETF,ETF,CAD,CA31615L1058
FCMI,Fidelity Canadian Monthly High Income ETF,ETF,CAD,CA31609T1066
FCMO,Fidelity U.S. Momentum Index ETF,ETF,CAD,CA31649P1062
FCR,First Capital Realty Inc,Common Stock,CAD,
FCR-DBJ,FIRST CAPITAL REALTY INC 4.45 P,FUND,CAD,
FCRH,Fidelity U.S. Dividend for Rising Rates Currency Neutral Index ETF,ETF,CAD,CA31644P1018
FCSI,Franklin ClearBridge Sustainable International Growth Fund ETF,ETF,CAD,CA35253P1045
