kind,cik,date,name,sic,accession,ticker
APPROVAL,1280600,2020-04-06,ACCELERON PHARMA INC,2836,0001280600-20-000020,
APPROVAL,722830,2020-04-22,IMMUNOMEDICS INC,2835,0001171843-20-002751,
APPROVAL,310158,2020-04-28,"Merck & Co., Inc.  (MRK)",2834,0001104659-20-051922,MRK
APPROVAL,1571498,2020-05-04,"Epizyme, Inc.",2834,0001193125-20-131670,
APPROVAL,1261249,2020-05-05,"AGILE THERAPEUTICS INC  (AGRX, AGXRW)",2834,0001558370-20-005192,
APPROVAL,914475,2020-05-06,NEUROCRINE BIOSCIENCES INC  (NBIX),2836,0001564590-20-021928,NBIX
APPROVAL,1585608,2020-05-08,"Jaguar Health, Inc.  (JAGX)",2834,0001104659-20-058890,JAGX
APPROVAL,1041024,2020-05-11,"ROCKWELL MEDICAL, INC.  (RMTI)",2834,0001628280-20-007440,RMTI
APPROVAL,1654151,2020-05-15,"Deciphera Pharmaceuticals, Inc.",2834,0001193125-20-144161,
APPROVAL,1497504,2020-05-18,PLx Pharma Inc.,2834,0000921895-20-001482,
APPROVAL,1087294,2020-05-20,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-20-008136,CPIX
APPROVAL,1618835,2020-05-22,"Evofem Biosciences, Inc.  (EVFM)",2834,0001618835-20-000149,EVFM
APPROVAL,722830,2020-05-27,IMMUNOMEDICS INC,2835,0001104659-20-066388,
APPROVAL,1566044,2020-05-29,Menlo Therapeutics Inc.  (VYNE),2834,0001104659-20-067562,YARW
APPROVAL,1126234,2020-06-01,"LUMOS PHARMA, INC.  (LUMO)",2834,0001140361-20-012764,
APPROVAL,1618835,2020-06-02,"Evofem Biosciences, Inc.  (EVFM)",2834,0001618835-20-000169,EVFM
APPROVAL,1689813,2020-06-02,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001689813-20-000046,
APPROVAL,1734517,2020-06-12,"Viela Bio, Inc.",2834,0001193125-20-166885,
APPROVAL,1515673,2020-06-18,Ultragenyx Pharmaceutical Inc.  (RARE),2834,0001564590-20-029761,RARE
APPROVAL,1403708,2020-06-19,Evoke Pharma Inc  (EVOK),2834,0001564590-20-029929,
APPROVAL,1503802,2020-06-22,Karyopharm Therapeutics Inc.  (KPTI),2834,0001193125-20-175626,KPTI
CRL,1641640,2020-06-22,Nabriva Therapeutics plc,2834,0001104659-20-075453,
APPROVAL,1326110,2020-06-24,"NantKwest, Inc.  (IBRX)",2836,0001193125-20-177788,IBRX
APPROVAL,1671584,2020-06-25,Aptevo Therapeutics Inc.  (APVO),2834,0001193125-20-178467,APVO
APPROVAL,1339469,2020-06-26,"CHIASMA, INC",2834,0001193125-20-181099,
APPROVAL,1375151,2020-06-26,"ZOGENIX, INC.",2834,0001375151-20-000096,
APPROVAL,1041024,2020-06-29,"ROCKWELL MEDICAL, INC.  (RMTI)",2834,0001628280-20-009996,RMTI
CRL,1270073,2020-06-29,"INTERCEPT PHARMACEUTICALS, INC.",2834,0001104659-20-077691,
CRL,818033,2020-06-29,"HERON THERAPEUTICS, INC. /DE/  (HRTX)",2834,0001564590-20-031058,HRTX
APPROVAL,882104,2020-06-29,"PDL BIOPHARMA, INC.",2836,0000882104-20-000094,
APPROVAL,1515673,2020-06-30,Ultragenyx Pharmaceutical Inc.  (RARE),2834,0001564590-20-031245,RARE
APPROVAL,1398733,2020-07-02,"Aquestive Therapeutics, Inc.  (AQST)",2834,0001140361-20-015330,AQST
APPROVAL,722830,2020-07-06,IMMUNOMEDICS INC,2835,0001171843-20-004747,
APPROVAL,1041024,2020-07-13,"ROCKWELL MEDICAL, INC.  (RMTI)",2834,0001628280-20-010309,RMTI
APPROVAL,875622,2020-07-20,BIOSPECIFICS TECHNOLOGIES CORP,2834,0001193125-20-195100,
APPROVAL,78003,2020-07-28,PFIZER INC  (PFE),2834,0000078003-20-000056,PFE
CRL,310158,2020-07-31,"Merck & Co., Inc.  (MRK)",2834,0001104659-20-088675,MRK
APPROVAL,310158,2020-07-31,"Merck & Co., Inc.  (MRK)",2834,0001104659-20-088675,MRK
APPROVAL,914475,2020-08-03,NEUROCRINE BIOSCIENCES INC  (NBIX),2836,0000914475-20-000017,NBIX
APPROVAL,879169,2020-08-04,INCYTE CORP  (INCY),8731,0001104659-20-089933,INCY
APPROVAL,1375151,2020-08-05,"ZOGENIX, INC.",2834,0001375151-20-000123,
APPROVAL,722830,2020-08-05,IMMUNOMEDICS INC,2835,0001171843-20-005563,
APPROVAL,1566044,2020-08-06,Menlo Therapeutics Inc.  (VYNE),2834,0001566044-20-000009,YARW
APPROVAL,1070081,2020-08-07,"PTC THERAPEUTICS, INC.  (PTCT)",2834,0001070081-20-000130,PTCT
APPROVAL,1159036,2020-08-10,"HALOZYME THERAPEUTICS, INC.  (HALO)",2836,0001159036-20-000036,HALO
APPROVAL,1339469,2020-08-10,"CHIASMA, INC",2834,0001193125-20-214957,
APPROVAL,1429560,2020-08-10,TREVENA INC  (TRVN),2834,0001104659-20-092325,
CRL,1211583,2020-08-11,FENNEC PHARMACEUTICALS INC.  (FENC),2836,0001104659-20-093089,FENC
APPROVAL,722830,2020-08-17,IMMUNOMEDICS INC,2835,0001171843-20-005961,
CRL,1595585,2020-08-24,"Tricida, Inc.",2834,0001595585-20-000118,
APPROVAL,1597264,2020-09-08,Blueprint Medicines Corp  (BPMC),2834,0001558370-20-011026,
APPROVAL,1517022,2020-09-11,"Akebia Therapeutics, Inc.  (AKBA)",2834,0001193125-20-244225,AKBA
APPROVAL,1337553,2020-09-15,AERIE PHARMACEUTICALS INC,2836,0001193125-20-245736,
APPROVAL,722830,2020-09-21,IMMUNOMEDICS INC,2835,0001171843-20-006524,
CRL,1398733,2020-09-25,"Aquestive Therapeutics, Inc.  (AQST)",2834,0001140361-20-021614,AQST
APPROVAL,1710340,2020-09-25,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-20-018322,ETON
APPROVAL,1599298,2020-09-29,Summit Therapeutics Inc.  (SMMT),2834,0001599298-20-000039,SMMT
APPROVAL,1710340,2020-09-30,"Eton Pharmaceuticals, Inc.  (ETON)",2834,0001493152-20-018576,ETON
APPROVAL,1566044,2020-10-01,VYNE Therapeutics Inc.  (VYNE),2834,0001104659-20-110704,YARW
APPROVAL,887247,2020-10-05,Adamis Pharmaceuticals Corp  (DMKPQ),2834,0001387131-20-008772,
APPROVAL,1566044,2020-10-07,VYNE Therapeutics Inc.  (VYNE),2834,0001104659-20-113070,YARW
APPROVAL,850261,2020-10-07,"Sorrento Therapeutics, Inc.  (SRNE)",2836,0001104659-20-112830,
APPROVAL,907654,2020-10-07,"ARCA biopharma, Inc.  (ABIO, ORKA)",2835,0001564590-20-045968,ORKA
CRL,1644963,2020-10-13,"AVENUE THERAPEUTICS, INC.  (ATXI)",2834,0001104659-20-114095,ATXI
APPROVAL,200406,2020-10-13,JOHNSON & JOHNSON  (JNJ),2834,0000200406-20-000054,JNJ
APPROVAL,1802665,2020-10-14,"Harmony Biosciences Holdings, Inc.  (HRMY)",2834,0001193125-20-269024,HRMY
